"Column Name","Label"
"B06009_027EA","Annotation of Estimate!!Total:!!Foreign born:!!High school graduate (includes equivalency)"
"B06009_027M","Margin of Error!!Total:!!Foreign born:!!High school graduate (includes equivalency)"
"B06009_027MA","Annotation of Margin of Error!!Total:!!Foreign born:!!High school graduate (includes equivalency)"
"B06009_028E","Estimate!!Total:!!Foreign born:!!Some college or associate's degree"
"B06009_028EA","Annotation of Estimate!!Total:!!Foreign born:!!Some college or associate's degree"
"B06009_028M","Margin of Error!!Total:!!Foreign born:!!Some college or associate's degree"
"B06009_028MA","Annotation of Margin of Error!!Total:!!Foreign born:!!Some college or associate's degree"
"B06009_029E","Estimate!!Total:!!Foreign born:!!Bachelor's degree"
"B06009_029EA","Annotation of Estimate!!Total:!!Foreign born:!!Bachelor's degree"
"B06009_029M","Margin of Error!!Total:!!Foreign born:!!Bachelor's degree"
"B06009_029MA","Annotation of Margin of Error!!Total:!!Foreign born:!!Bachelor's degree"
"B06009_030E","Estimate!!Total:!!Foreign born:!!Graduate or professional degree"
"B06009_030EA","Annotation of Estimate!!Total:!!Foreign born:!!Graduate or professional degree"
"B06009_030M","Margin of Error!!Total:!!Foreign born:!!Graduate or professional degree"
"B06009_030MA","Annotation of Margin of Error!!Total:!!Foreign born:!!Graduate or professional degree"
